area,subtopic
ECONOMICA_INNOVACION_EMPLEO,MERCADOS_COMERCIOS_Y_CENTROS_COMERCIALES
NO_COMPETE,METRO
FAMILIAS_IGUALDAD_BIENESTAR,MIGRANTES
OBRAS_EQUIPAMIENTO,MOBILIARIO_URBANO
CULTURA_TURISMO_DEPORTE,MONUMENTOS_NOMBRES_DE_CALLES_Y_OTRAS_DISTINCIONES
AMBIENTE_MOVILIDAD,MOVILIDAD
CULTURA_TURISMO_DEPORTE,MUSICA_ESCUELAS_DE_MUSICA_AUDITORIOS
VICEALCALDIA,NORMATIVA
OBRAS_EQUIPAMIENTO,OBRAS
CULTURA_TURISMO_DEPORTE,OCIO
NO_COMPETE,OTROS
NO_COMPETE,PARO
AMBIENTE_MOVILIDAD,PARQUES_Y_ZONAS_VERDES
VICEALCALDIA,PARTICIPACION_CIUDADANA
OBRAS_EQUIPAMIENTO,PATRIMONIO
FAMILIAS_IGUALDAD_BIENESTAR,PERSONAS_SIN_HOGAR
FAMILIAS_IGUALDAD_BIENESTAR,PERSONAS_SORDAS
AMBIENTE_MOVILIDAD,PINTADAS
CULTURA_TURISMO_DEPORTE,PINTURAS_MURALES
PORTAVOZ_SEGURIDAD_EMERGENCIAS,PLAGAS
FAMILIAS_IGUALDAD_BIENESTAR,POBREZA
PORTAVOZ_SEGURIDAD_EMERGENCIAS,POLICIA_MUNICIPAL
VICEALCALDIA,POLITICOS
FAMILIAS_IGUALDAD_BIENESTAR,PROSTITUCION
PORTAVOZ_SEGURIDAD_EMERGENCIAS,PROTECCION
AMBIENTE_MOVILIDAD,PUNTOS_LIMPIOS
AMBIENTE_MOVILIDAD,RECICLAJE_Y_TRATAMIENTO_DE_BASURA
FAMILIAS_IGUALDAD_BIENESTAR,REFUGIADOS
DESARROLLOURBANO,REHABILITACION
NO_COMPETE,RELIGION
ECONOMICA_INNOVACION_EMPLEO,RESTAURACION_RESTAURANTES_Y_BARES
AMBIENTE_MOVILIDAD,RUIDO
PORTAVOZ_SEGURIDAD_EMERGENCIAS,SALUD
NO_COMPETE,SANIDAD
VICEALCALDIA,SEDE_ELECTRONICA
PORTAVOZ_SEGURIDAD_EMERGENCIAS,SEGURIDAD
AMBIENTE_MOVILIDAD,SENALIZACION
AMBIENTE_MOVILIDAD,SERVICIO_ESTACIONAMIENTO_REGULADO
VICEALCALDIA,SERVICIOS_PUBLICOS
FAMILIAS_IGUALDAD_BIENESTAR,SERVICIOS_Y_AYUDAS_SOCIALES
FAMILIAS_IGUALDAD_BIENESTAR,SOLIDARIDAD
AMBIENTE_MOVILIDAD,SOSTENIBILIDAD
CULTURA_TURISMO_DEPORTE,TEATRO
VICEALCALDIA,TERRAZAS
CULTURA_TURISMO_DEPORTE,TOROS
ECONOMICA_INNOVACION_EMPLEO,TRABAJO_Y_EMPLEO
AMBIENTE_MOVILIDAD,TRAFICO
VICEALCALDIA,TRANSPARENCIA
AMBIENTE_MOVILIDAD,TRANSPORTE_PRIVADO_COCHE_MOTO_BICICLETA_Y_PATINETE
AMBIENTE_MOVILIDAD,TRANSPORTE_PUBLICO
NO_COMPETE,TREN
CULTURA_TURISMO_DEPORTE,TURISMO
NO_COMPETE,UNIVERSIDAD
DESARROLLOURBANO,URBANISMO
AMBIENTE_MOVILIDAD,VIA_PUBLICA
FAMILIAS_IGUALDAD_BIENESTAR,VIOLENCIA_DE_GENERO
DESARROLLOURBANO,VIVIENDA
FAMILIAS_IGUALDAD_BIENESTAR,VOLUNTARIADO
OBRAS_EQUIPAMIENTO,ZONAS_PEATONALES
